date,open,settlement,high_trade,low_trade,volume,open_interest,high_bid,low_ask
20181112,401.75,403.5,404.75,401.0,9958.0,164807.0,404.5,401.25
20181113,402.5,399.75,403.25,399.25,13594.0,165587.0,403.0,399.5
20181114,399.0,399.0,400.25,398.5,7035.0,166830.0,400.5,398.75
20181115,398.5,399.0,402.75,398.5,10995.0,167611.0,402.5,398.5
20181116,398.75,398.0,399.75,396.25,17128.0,169791.0,399.75,396.5
20181119,397.75,396.25,399.0,395.25,8699.0,171816.0,398.75,395.5
20181120,396.5,395.75,397.5,395.25,8356.0,171639.0,397.25,395.5
20181121,395.75,396.5,397.75,395.0,19654.0,180453.0,397.5,395.25
20181123,396.0,395.25,396.75,395.0,5472.0,181384.0,396.75,395.25
20181126,395.5,392.25,396.25,392.0,10974.0,179681.0,396.25,392.25
20181127,392.0,392.0,394.0,391.25,9703.0,181284.0,394.0,391.5
20181128,392.0,396.0,396.75,391.75,13831.0,184749.0,396.5,392.0
20181129,396.25,396.0,397.5,394.5,9627.0,186259.0,397.5,394.5
20181130,395.75,399.75,400.0,395.0,13153.0,189485.0,400.0,395.25
20181203,404.0,402.5,405.0,401.5,22002.0,191787.0,404.75,401.75
20181204,401.25,402.75,403.0,400.5,26393.0,193660.0,402.75,400.75
20181205,402.0,402.25,403.5,400.5,21624.0,195021.0,403.25,400.75
20181206,402.25,401.25,403.25,399.25,18133.0,197047.0,403.0,399.5
20181207,401.0,403.0,403.75,400.75,13366.0,199320.0,403.5,401.0
20181210,402.25,402.25,404.0,401.5,19287.0,198160.0,403.75,401.5
20181211,401.25,404.0,404.0,400.5,20471.0,199962.0,403.75,400.75
20181212,404.0,403.75,405.25,402.75,26369.0,196817.0,405.25,403.0
20181213,403.25,403.75,404.75,401.75,14129.0,196738.0,404.5,402.0
20181214,403.0,403.75,405.5,402.25,18266.0,197948.0,405.25,402.25
20181217,403.0,403.5,404.75,402.5,10036.0,198658.0,404.75,402.75
20181218,403.0,405.0,405.0,402.75,13582.0,200539.0,404.75,402.75
20181219,404.25,402.5,404.25,402.0,10705.0,202313.0,404.25,402.25
20181220,402.25,396.75,403.25,396.5,17810.0,202044.0,403.25,396.75
20181221,397.25,399.25,400.0,396.75,15962.0,199981.0,399.75,397.0
20181224,398.75,398.75,399.25,396.5,4001.0,200421.0,399.25,396.5
20181226,398.75,395.75,399.5,394.5,6378.0,199670.0,399.5,394.75
20181227,395.5,396.25,398.5,395.5,5741.0,199832.0,398.25,395.5
20181228,396.25,397.5,399.25,396.25,10731.0,199398.0,399.0,396.5
20181231,397.25,397.5,398.5,395.25,8960.0,199977.0,398.5,395.5
20190102,397.5,398.25,399.0,396.25,9916.0,200364.0,399.0,396.25
20190103,397.25,401.0,401.25,397.0,9773.0,201661.0,401.25,397.0
20190104,400.5,404.0,404.25,400.25,19169.0,204099.0,404.0,400.5
20190107,403.25,403.75,404.25,402.75,12761.0,204572.0,404.25,403.0
20190108,403.5,402.75,404.75,401.5,19452.0,204468.0,404.5,401.5
20190109,402.75,404.0,405.0,402.75,27437.0,209422.0,404.75,403.0
20190110,403.5,399.0,404.0,399.0,21090.0,209650.0,404.0,399.25
20190111,399.25,401.5,402.25,399.25,15872.0,209891.0,402.0,399.75
20190114,401.5,402.25,404.0,400.75,21690.0,214082.0,403.75,400.75
20190115,402.75,396.5,404.25,396.5,27312.0,213255.0,404.0,396.75
20190116,397.75,399.25,400.0,397.75,23530.0,215084.0,399.75,398.0
20190117,399.0,403.25,404.25,398.75,28619.0,218708.0,404.0,399.0
20190118,403.0,403.75,406.0,401.75,32731.0,226330.0,405.75,401.75
20190122,402.5,400.75,404.0,399.0,24561.0,226284.0,404.0,399.25
20190123,401.0,402.25,403.25,401.0,19985.0,223661.0,403.0,401.0
20190124,402.25,400.75,403.0,399.75,17072.0,225342.0,403.0,400.0
20190125,400.75,403.25,403.5,398.5,27279.0,221734.0,403.25,398.5
20190128,402.5,403.0,403.5,401.25,10581.0,222258.0,403.25,401.25
20190129,402.25,401.0,403.5,400.0,18445.0,224648.0,403.25,400.0
20190130,400.75,403.75,404.0,400.75,23639.0,225146.0,403.75,400.75
20190131,403.25,400.0,403.75,399.5,23554.0,226752.0,403.75,399.5
20190201,400.25,402.25,403.75,400.25,23033.0,230049.0,403.75,400.25
20190204,401.25,402.5,403.5,400.75,17231.0,231140.0,403.25,400.75
20190205,402.5,403.5,404.0,400.75,17301.0,232151.0,403.75,401.0
20190206,403.0,403.0,403.75,402.25,17170.0,232435.0,403.5,402.5
20190207,403.0,400.25,403.25,400.0,26665.0,237121.0,403.25,400.25
20190208,400.0,399.25,404.0,398.5,43005.0,237137.0,403.75,398.75
20190211,399.25,397.75,399.5,396.5,18322.0,238897.0,399.5,396.75
20190212,398.0,402.0,402.25,398.0,22110.0,241127.0,402.0,398.0
20190213,401.25,402.5,402.5,400.25,24791.0,243257.0,402.5,400.5
20190214,402.0,399.25,402.25,399.0,26980.0,242708.0,402.0,399.25
20190215,399.5,399.25,401.0,398.25,19340.0,242231.0,400.75,398.25
20190219,399.25,396.75,400.75,395.5,36785.0,244813.0,400.75,395.75
20190220,397.75,398.5,399.75,396.25,42790.0,245112.0,399.5,396.5
20190221,398.5,401.75,404.25,398.25,53492.0,246721.0,404.0,398.5
20190222,400.75,401.75,403.75,400.75,34126.0,250842.0,403.75,401.0
20190225,404.0,398.5,404.0,398.0,38620.0,252956.0,404.0,398.0
20190226,399.0,396.25,399.5,395.0,42287.0,258836.0,399.5,395.25
20190227,395.5,394.5,398.0,393.75,42336.0,263742.0,397.75,393.75
20190228,394.25,392.0,394.5,391.25,35553.0,268494.0,394.25,391.5
20190301,392.0,394.25,394.75,387.5,47045.0,272237.0,394.5,387.75
20190304,394.5,395.75,398.0,394.5,24860.0,276840.0,398.0,394.75
20190305,396.25,397.25,398.5,395.0,28159.0,274770.0,398.25,395.0
20190306,397.0,395.0,397.75,393.25,29465.0,275131.0,397.5,393.25
20190307,394.0,389.0,394.25,388.5,42436.0,279791.0,394.25,388.5
20190308,389.0,388.5,391.25,386.25,34876.0,284354.0,391.0,386.5
20190311,389.75,386.5,391.0,386.25,31908.0,286336.0,390.75,386.5
20190312,386.75,391.5,392.25,386.75,39216.0,285726.0,392.0,386.75
20190313,391.0,392.25,395.5,389.5,35812.0,289526.0,395.25,389.75
20190314,392.25,394.0,396.0,391.5,42864.0,293233.0,395.75,391.5
20190315,392.5,396.0,396.5,392.25,45631.0,298758.0,396.25,392.25
20190318,396.25,394.75,397.5,393.5,36789.0,297249.0,397.25,393.75
20190319,395.0,395.25,396.75,392.25,35674.0,299214.0,396.75,392.25
20190320,395.25,395.5,396.0,393.0,20831.0,299780.0,395.75,393.25
