new_tag60_unix_nanoseconds,tag60,new_tag75,new_bid_01_price,new_bid_02_price,new_bid_03_price,new_bid_04_price,new_bid_05_price,new_bid_06_price,new_bid_07_price,new_bid_08_price,new_bid_09_price,new_bid_10_price,new_bid_11_price,new_bid_01_qty,new_bid_02_qty,new_bid_03_qty,new_bid_04_qty,new_bid_05_qty,new_bid_06_qty,new_bid_07_qty,new_bid_08_qty,new_bid_09_qty,new_bid_10_qty,new_bid_11_qty,new_ask_01_price,new_ask_02_price,new_ask_03_price,new_ask_04_price,new_ask_05_price,new_ask_06_price,new_ask_07_price,new_ask_08_price,new_ask_09_price,new_ask_10_price,new_ask_11_price,new_ask_01_qty,new_ask_02_qty,new_ask_03_qty,new_ask_04_qty,new_ask_05_qty,new_ask_06_qty,new_ask_07_qty,new_ask_08_qty,new_ask_09_qty,new_ask_10_qty,new_ask_11_qty,old_tag60_unix_nanoseconds,old_tag75,old_bid_01_price,old_bid_02_price,old_bid_03_price,old_bid_04_price,old_bid_05_price,old_bid_06_price,old_bid_07_price,old_bid_08_price,old_bid_09_price,old_bid_10_price,old_bid_11_price,old_bid_01_qty,old_bid_02_qty,old_bid_03_qty,old_bid_04_qty,old_bid_05_qty,old_bid_06_qty,old_bid_07_qty,old_bid_08_qty,old_bid_09_qty,old_bid_10_qty,old_bid_11_qty,old_ask_01_price,old_ask_02_price,old_ask_03_price,old_ask_04_price,old_ask_05_price,old_ask_06_price,old_ask_07_price,old_ask_08_price,old_ask_09_price,old_ask_10_price,old_ask_11_price,old_ask_01_qty,old_ask_02_qty,old_ask_03_qty,old_ask_04_qty,old_ask_05_qty,old_ask_06_qty,old_ask_07_qty,old_ask_08_qty,old_ask_09_qty,old_ask_10_qty,old_ask_11_qty
1577370600036795109,20191226143000036795109,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,4,92,156,44,109,46,180,23,85,30,90,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,48,7,49,87,76,87,77,67,124,66,54,1577370600036795109,20191226,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,5,8,11,71,1,68,56,198,221,77,116,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,17,9,6,94,7,26,87,278,66,1391,58
1577370610772213035,20191226143010772213035,20191226,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,6,215,128,211,91,115,64,183,41,89,30,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,71,73,93,94,99,81,67,128,65,66,50,1577370610772213035,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,8,6,94,7,26,87,278,66,1391,58,1100
1577370621279795699,20191226143021279795699,20191226,388.5,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,147,71,104,128,192,172,116,70,183,47,99,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,53,56,89,100,81,66,128,63,66,50,42,1577370621279795699,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
1577370634334586091,20191226143034334586091,20191226,388.5,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,175,76,158,127,191,172,116,70,163,47,99,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,33,58,90,100,81,65,128,63,66,50,42,1577370634334586091,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
1577370643267381221,20191226143043267381221,20191226,388.5,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,159,85,128,127,191,172,117,70,163,47,99,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,63,58,91,102,82,65,128,63,66,50,42,1577370643267381221,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
1577370654630389415,20191226143054630389415,20191226,388.5,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,151,82,128,129,191,172,117,70,163,47,99,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,53,60,72,102,82,65,129,63,66,50,42,1577370654630389415,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
1577370660144280017,20191226143100144280017,20191226,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,192,141,219,209,154,105,163,47,100,30,97,388.25,388.5,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,22,147,250,137,118,138,121,65,129,64,66,1577370660144280017,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
1577370679815202393,20191226143119815202393,20191226,388.5,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,7,123,154,180,228,209,154,104,200,88,137,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,236,96,113,147,130,114,166,105,104,90,79,1577370679815202393,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
1577370680356335931,20191226143120356335931,20191226,388.5,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,17,272,133,179,228,209,154,104,200,88,137,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,232,96,113,147,130,114,166,105,104,90,79,1577370680356335931,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
1577370691947227039,20191226143131947227039,20191226,388.5,388.25,388.0,387.75,387.5,387.25,387.0,386.75,386.5,386.25,386.0,18,280,195,168,229,210,155,105,201,89,138,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,237,98,124,148,131,109,167,106,105,91,82,1577370691947227039,20191226,387.5,387.25,387.0,386.75,386.5,386.25,386.0,385.75,385.5,385.25,385.0,8,11,71,1,68,56,198,221,77,116,641,388.75,389.0,389.25,389.5,389.75,390.0,390.25,390.5,390.75,391.0,391.25,1,94,7,26,87,278,66,1391,58,1100,68
