tag60_unix_nanoseconds,tag60,tag75,bid_01_price,bid_02_price,bid_03_price,bid_04_price,bid_05_price,bid_06_price,bid_07_price,bid_08_price,bid_09_price,bid_10_price,bid_11_price,bid_01_qty,bid_02_qty,bid_03_qty,bid_04_qty,bid_05_qty,bid_06_qty,bid_07_qty,bid_08_qty,bid_09_qty,bid_10_qty,bid_11_qty,ask_01_price,ask_02_price,ask_03_price,ask_04_price,ask_05_price,ask_06_price,ask_07_price,ask_08_price,ask_09_price,ask_10_price,ask_11_price,ask_01_qty,ask_02_qty,ask_03_qty,ask_04_qty,ask_05_qty,ask_06_qty,ask_07_qty,ask_08_qty,ask_09_qty,ask_10_qty,ask_11_qty
1577370600000000000,20191226143000000000000,20191226,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,385.5,385.25,68,183,55,180,47,247,79,283,251,167,147,388,388.25,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,74,65,36,67,171,75,106,164,345,190,1456
1577370610000049957,20191226143010000049957,20191226,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,385.5,172,128,219,102,186,65,251,97,287,251,173,388.25,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,21,93,99,187,101,125,168,345,194,1456,124
1577370620001769305,20191226143020001769305,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,143,71,104,128,220,183,187,71,251,103,297,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,50,150,96,126,168,344,194,1454,124,1150,110
1577370630006162017,20191226143030006162017,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,113,90,148,144,216,183,187,71,231,103,297,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,37,152,96,126,169,343,194,1454,124,1150,110
1577370640481750615,20191226143040481750615,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,186,76,158,127,199,183,188,71,231,103,297,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,46,152,99,126,169,343,194,1454,124,1150,110
1577370650006424577,20191226143050006424577,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,224,85,128,127,199,183,188,71,231,103,297,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,42,152,78,128,169,343,195,1454,124,1150,110
1577370660084013775,20191226143100084013775,20191226,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,385.5,158,104,189,183,188,71,231,103,298,251,174,388.25,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,19,110,214,195,88,128,171,343,195,1455,124
1577370670059310495,20191226143110059310495,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,15,238,133,178,236,220,225,106,268,144,335,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,221,190,115,164,208,383,232,1496,162,1190,147
1577370680000507899,20191226143120000507899,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,5,124,154,179,236,220,225,105,268,144,335,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,237,190,120,173,217,392,232,1496,162,1190,147
1577370690440997511,20191226143130440997511,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,82,175,168,237,221,226,106,269,145,336,292,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,43,108,218,131,174,218,386,233,1497,163,1191
1577370700500137977,20191226143140500137977,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,33,128,212,177,237,221,226,106,269,145,336,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,237,193,121,174,218,587,233,1497,163,1191,150
1577370710076806411,20191226143150076806411,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,103,146,195,197,129,221,226,106,269,145,336,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,53,194,121,174,218,587,233,1497,163,1191,150
1577370720028484433,20191226143200028484433,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,54,151,197,197,129,221,226,106,269,145,336,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,200,194,121,174,218,587,233,1497,163,1191,150
1577370730619913689,20191226143210619913689,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,52,151,171,197,129,220,227,106,269,145,336,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,197,194,121,174,218,587,233,1497,163,1191,150
1577370740621653617,20191226143220621653617,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,33,148,173,197,133,220,227,106,269,145,336,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,191,195,121,174,218,587,233,1497,163,1191,150
1577370750635579817,20191226143230635579817,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,131,159,187,133,220,227,106,269,145,336,292,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,27,111,220,131,174,219,587,233,1497,163,1191
1577370760227726317,20191226143240227726317,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,110,159,187,133,221,227,106,269,145,336,292,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,53,109,223,131,174,219,587,233,1497,163,1191
1577370770040585973,20191226143250040585973,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,111,160,187,133,221,227,106,169,145,336,292,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,69,109,262,131,174,219,587,233,1497,163,1191
1577370780001126141,20191226143300001126141,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,61,139,182,197,133,221,327,106,169,245,336,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,46,237,121,174,219,587,233,1497,163,1191,150
1577370790553806611,20191226143310553806611,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,76,106,163,209,198,134,205,326,106,169,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,148,95,165,220,586,232,1497,161,1191,150,186
1577370800682721681,20191226143320682721681,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,122,109,163,213,198,134,205,328,106,169,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,152,95,165,218,606,232,1497,161,1191,150,186
1577370810683619409,20191226143330683619409,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,53,112,172,222,203,143,210,337,117,178,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,257,104,177,228,611,241,1502,170,1191,159,186
1577370820443147153,20191226143340443147153,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,60,116,171,222,203,143,210,337,117,178,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,154,107,177,227,611,241,1500,170,1191,159,186
1577370830053788103,20191226143350053788103,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,47,264,149,222,203,143,210,336,117,178,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,371,104,177,219,611,241,1500,170,1191,159,186
1577370840256701417,20191226143400256701417,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,89,144,208,203,143,210,336,117,178,245,345,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,129,212,131,187,224,612,246,1500,170,1191,165
1577370850460297971,20191226143410460297971,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,17,108,169,228,203,143,210,337,118,179,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,276,109,177,224,612,246,1500,170,1191,165,186
1577370860594772175,20191226143420594772175,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,95,110,179,228,203,143,210,337,118,179,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,144,110,176,223,612,247,1500,170,1191,165,186
1577370870160193093,20191226143430160193093,20191226,388.75,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,50,110,179,228,203,143,210,337,118,179,245,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,391.5,149,110,176,222,612,247,1500,170,1192,165,186
1577370880289894917,20191226143440289894917,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,106,186,188,143,210,338,118,179,245,345,292,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,61,145,230,152,186,222,612,247,1500,170,1192
1577370890502582781,20191226143450502582781,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,66,186,188,143,230,318,118,179,245,345,292,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,68,146,232,153,173,233,612,247,1500,170,1192
1577370900004514121,20191226143500004514121,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,94,186,193,144,230,320,121,183,247,343,296,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,67,145,231,153,177,235,613,251,1502,172,1196
1577370910011058457,20191226143510011058457,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,68,130,218,202,144,230,320,122,182,245,342,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,85,209,144,318,235,613,250,1500,170,1192,165
1577370920670782871,20191226143520670782871,20191226,388.5,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,71,128,248,182,144,230,320,122,182,245,342,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,391.25,69,209,144,318,235,613,250,1500,170,1192,165
1577370930790383727,20191226143530790383727,20191226,388.25,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,115,216,212,144,212,320,123,182,245,344,292,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,391,59,174,229,153,319,235,614,250,1500,172,1192
1577370940001338497,20191226143540001338497,20191226,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,385.5,207,165,154,212,320,124,182,245,344,292,221,388.25,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,136,242,181,240,153,358,245,614,250,1500,172
1577370950145954735,20191226143550145954735,20191226,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,385.5,128,171,161,214,322,121,184,247,346,295,223,388.25,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,180,149,196,243,155,361,247,617,252,1502,174
1577370960185628757,20191226143600185628757,20191226,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,385.5,128,151,162,220,342,121,184,247,346,295,231,388.25,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,196,149,147,253,155,381,247,617,252,1502,174
1577370970016258217,20191226143610016258217,20191226,388,387.75,387.5,387.25,387,386.75,386.5,386.25,386,385.75,385.5,127,149,138,216,357,121,184,246,346,295,231,388.25,388.5,388.75,389,389.25,389.5,389.75,390,390.25,390.5,390.75,204,139,147,253,155,381,247,617,252,1502,174
