date,open,settlement,high_trade,low_trade,volume,open_interest,high_bid,low_ask
20181130,,5189.0,,,43622.0,200078.0,,
20181203,5306.0,5409.0,5442.0,5272.0,44563.0,197825.0,5442.0,5290.0
20181204,5450.0,5470.0,5574.0,5401.0,47137.0,196414.0,5574.0,5400.0
20181205,5407.0,5449.0,5585.0,5381.0,35877.0,194138.0,5584.0,5379.0
20181206,5466.0,5343.0,5480.0,5198.0,38937.0,191975.0,5486.0,5200.0
20181207,5345.0,5433.0,5598.0,5262.0,47398.0,193911.0,5597.0,5259.0
20181210,5435.0,5267.0,5459.0,5221.0,22352.0,194285.0,5458.0,5225.0
20181211,5259.0,5299.0,5374.0,5233.0,25448.0,192694.0,5373.0,5234.0
20181212,5334.0,5300.0,5410.0,5286.0,26969.0,190529.0,5408.0,5288.0
20181213,5322.0,5436.0,5494.0,5245.0,34923.0,189109.0,5492.0,5242.0
20181214,5454.0,5335.0,5454.0,5300.0,25721.0,186205.0,5462.0,5299.0
20181217,5335.0,5264.0,5397.0,5179.0,36217.0,184610.0,5397.0,5181.0
20181218,5183.0,4928.0,5217.0,4883.0,51824.0,188269.0,5226.0,4884.0
20181219,4907.0,5065.0,5097.0,4907.0,34857.0,189273.0,5098.0,4915.0
20181220,5023.0,4854.0,5031.0,4844.0,28103.0,190377.0,5030.0,4847.0
20181221,4900.0,4815.0,4929.0,4761.0,38920.0,187883.0,4931.0,4763.0
20181224,4801.0,4530.0,4871.0,4514.0,18093.0,188296.0,4868.0,4516.0
20181226,4566.0,4885.0,4960.0,4523.0,30039.0,189013.0,4961.0,4525.0
20181227,4923.0,4742.0,4923.0,4716.0,33510.0,192852.0,4922.0,4717.0
20181228,4862.0,4775.0,4876.0,4695.0,22696.0,194055.0,4878.0,4697.0
20181231,4787.0,4838.0,4893.0,4745.0,27742.0,192713.0,4899.0,4747.0
20190102,4884.0,4966.0,5088.0,4740.0,38159.0,195427.0,5088.0,4740.0
20190103,4931.0,5027.0,5070.0,4870.0,32989.0,192262.0,5070.0,4872.0
20190104,5015.0,5108.0,5220.0,4990.0,30662.0,191808.0,5216.0,4988.0
20190107,5133.0,5148.0,5277.0,5130.0,37284.0,188222.0,5276.0,5130.0
20190108,5175.0,5275.0,5283.0,5133.0,35715.0,185672.0,5282.0,5128.0
20190109,5279.0,5515.0,5526.0,5279.0,57268.0,185301.0,5523.0,5288.0
20190110,5494.0,5535.0,5547.0,5425.0,55915.0,183456.0,5546.0,5423.0
20190111,5498.0,5422.0,5598.0,5394.0,30924.0,183387.0,5596.0,5393.0
20190114,5450.0,5304.0,5464.0,5287.0,25121.0,182937.0,5464.0,5290.0
20190115,5314.0,5435.0,5450.0,5314.0,39324.0,183761.0,5450.0,5312.0
20190116,5416.0,5469.0,5482.0,5357.0,33471.0,185274.0,5483.0,5356.0
20190117,5440.0,5445.0,5480.0,5355.0,41157.0,186650.0,5475.0,5354.0
20190118,5440.0,5545.0,5571.0,5440.0,59111.0,183723.0,5570.0,5440.0
20190121,5500.0,,5589.0,5493.0,,,5589.0,5492.0
20190122,,5496.0,,5406.0,46691.0,184112.0,,5407.0
20190123,5473.0,5470.0,5561.0,5389.0,35231.0,182531.0,5560.0,5395.0
20190124,5456.0,5488.0,5505.0,5400.0,51030.0,179312.0,5505.0,5401.0
20190125,5477.0,5529.0,5552.0,5450.0,32715.0,179775.0,5552.0,5452.0
20190128,5521.0,5384.0,5533.0,5329.0,35080.0,179758.0,5533.0,5329.0
20190129,5375.0,5499.0,5549.0,5361.0,33581.0,176403.0,5548.0,5363.0
20190130,5483.0,5533.0,5591.0,5481.0,70490.0,171292.0,5591.0,5480.0
20190131,5539.0,5496.0,5620.0,5485.0,81444.0,176475.0,5619.0,5485.0
20190201,5524.0,5665.0,5683.0,5476.0,55597.0,175754.0,5682.0,5476.0
20190204,5669.0,5652.0,5718.0,5512.0,60856.0,177739.0,5718.0,5513.0
20190205,5668.0,5618.0,5704.0,5589.0,73587.0,175537.0,5705.0,5590.0
20190206,5640.0,5655.0,5675.0,5550.0,52102.0,179641.0,5675.0,5549.0
20190207,5633.0,5535.0,5663.0,5458.0,61659.0,181960.0,5662.0,5459.0
20190208,5521.0,5537.0,5571.0,5476.0,42625.0,179294.0,5572.0,5478.0
20190211,5538.0,5521.0,5554.0,5428.0,53927.0,184438.0,5555.0,5430.0
20190212,5531.0,5590.0,5661.0,5524.0,53524.0,187070.0,5660.0,5523.0
20190213,5615.0,5672.0,5698.0,5597.0,57196.0,189518.0,5697.0,5599.0
20190214,5675.0,5714.0,5746.0,5616.0,56825.0,189755.0,5744.0,5619.0
20190215,5714.0,5848.0,5867.0,5698.0,68001.0,189715.0,5866.0,5698.0
20190218,5853.0,,5912.0,5842.0,,,5911.0,5844.0
20190219,,5877.0,,5820.0,50961.0,190536.0,,5821.0
20190220,5863.0,5917.0,5962.0,5807.0,63736.0,186394.0,5963.0,5807.0
20190221,5900.0,5917.0,5938.0,5874.0,48870.0,187545.0,5938.0,5882.0
20190222,5888.0,5940.0,5980.0,5888.0,56795.0,187896.0,5979.0,5898.0
20190225,5939.0,5768.0,5967.0,5738.0,48293.0,189540.0,5967.0,5738.0
20190226,5772.0,5798.0,5846.0,5737.0,29366.0,191675.0,5844.0,5739.0
20190227,5837.0,5908.0,5946.0,5809.0,40861.0,193134.0,5945.0,5809.0
20190228,5905.0,5913.0,5941.0,5856.0,33617.0,194901.0,5940.0,5857.0
20190301,5916.0,5795.0,5971.0,5770.0,47692.0,196261.0,5968.0,5772.0
20190304,5831.0,5878.0,5910.0,5812.0,33636.0,199658.0,5911.0,5812.0
20190305,5863.0,5878.0,5927.0,5828.0,30999.0,201890.0,5927.0,5828.0
20190306,5836.0,5861.0,5869.0,5783.0,35204.0,205247.0,5870.0,5789.0
20190307,5855.0,5887.0,5926.0,5845.0,39738.0,207081.0,5925.0,5845.0
20190308,5857.0,5822.0,5857.0,5674.0,53711.0,207455.0,5857.0,5676.0
20190311,5826.0,5880.0,5895.0,5812.0,37657.0,209965.0,5892.0,5808.0
20190312,5882.0,5887.0,5936.0,5864.0,53008.0,212907.0,5937.0,5865.0
20190313,5906.0,5992.0,6001.0,5891.0,86087.0,206030.0,6000.0,5892.0
