tag60_unix_nanoseconds,packet_no,tag1128,tag9,tag35,tag49,tag75,tag34,tag52,tag60,tag5799,tag268,tag268_no,tag279,tag269,tag48,tag55,tag83,tag270,tag271,tag346,tag346_no,tag5797,tag37711,tag37705,tag37705_no,tag37,tag32,tag10,tag_pattern
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,1,0,218935,53,1,703440812877,2,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,2,0,218935,53,2,703440813329,1,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,3,0,218935,53,3,703440812884,2,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,4,0,218935,53,4,703440813332,1,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,5,0,218935,53,5,703440807946,2,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,6,0,218935,53,6,703440813334,1,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,7,0,218935,53,7,703440815210,9,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,8,0,218935,53,8,703440813339,1,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,9,0,218935,53,9,703440805553,3,078,3
1572877800000000000,1438,9,1321,X,CME,20191104,115263,20191104143000036503813,20191104143000000000000,00000000,1,1,0,2,19296,LEZ9,276,119525.0,138,53,10,0,218935,53,10,703440813342,1,078,3
